,text,normal_text,label
342,как долго я могу оставаться в комнате,долго мочь оставаться комната,время
343,время заселения в номер,время заселение номер,время
344,нужно ли платить за парковку,нужно платить парковка,время
345,добрый день уточните пожалуйста предоставляет ли ваша гостиница вспомогательные услуги для клиентов,добрый день уточнить пожалуйста предоставлять ваш гостиница вспомогательный услуга клиент,услуги
346,перечень дополнительных услуг предоставляемых гостиницей,перечень дополнительный услуга предоставлять гостиница,время
347,добрый день есть ли свободные места для парковки автомобиля в ночное время суток,добрый день свободный место парковка автомобиль ночной время сутки,время
348,здравствуйте у вас есть бронь,здравствуйте бронь,номера
349,когда случился заезд,случиться заезд,время
350,Здравствуйте можно фото двухместного номера,здравствуйте фото двухместный номер,время
351,Здравствуйте Могу ли я забронировать номер в вашем отеле,здравствуйте мочь забронировать номер ваш отель,забронировать
352,Когда я могу заселиться,мочь заселиться,время
353,добрый день есть ли дополнительные услуги в гостинице,добрый день дополнительный услуга гостиница,услуги
354,у нас лучшие номера,хороший номер,время
355,Не могли бы вы сказать мне сколько у вас комнат,мочь сказать сколько комната,время
356,здравствуйте можете помочь зарегестрировать номер у вас,здравствуйте мочь помочь зарегестрировать номер,время
357,мне нужен двухместный номер на 2 июня есть свободные,нужный двухместный номер 2 июнь свободный,время
358,здравствуйте а есть дополнительные услуги какие,здравствуйте дополнительный услуга какой,услуги
359,добрый день нужна бронь свободного номера,добрый день нужный бронь свободный номер,время
360,я хочу забронировать отель,хотеть забронировать отель,забронировать
361,Доброго дня пожалуйста уточните время заселения и выселения,добрый день пожалуйста уточнить время заселение выселение,время
362,что еще есть в гостинице спа салон ресторан,гостиница спа салон ресторан,время
363,время выселения из номера,время выселение номер,время
364,чем можно заняться в отеле,заняться отель,время
365,скажите пожалуйста сколько там комнат,сказать пожалуйста сколько комната,время
366,Здравствуйте Подскажите мне можно ли припарковаться на территории отеля ,здравствуйте подсказать припарковаться территория отель,парковка
367,доброго времени суток какие еще слуги предоставляет данная гостиница,добрый время сутки какой слуга предоставлять дать гостиница,время
368,добрый день подскажите пожалуйста какие услуги есть в вашем отеле,добрый день подсказать пожалуйста какой услуга ваш отель,услуги
369,в котором часу заезд в номер,который час заезд номер,время
370,какие есть гостиничные номера,какой гостиничный номер,номера
371,Какие номера доступны для бронирования,какой номер доступный бронирование,номера
372,хай что есть дополнительного в гостинице,хай дополнительный гостиница,время
373,в какой день заезд,день заезд,время
374,здравствуйте как забронировать номер в отеле,здравствуйте забронировать номер отель,забронировать
375,Какие в ностинице бесплатные услуги,какой ностиница бесплатный услуга,услуги
376,Добрый день Расскажите про номера которые есть в вашем отеле,добрый день рассказать номер который ваш отель,время
377,подскажите пожалуйста какие у вас имеются номера в гостиницу,подсказать пожалуйста какой иметься номер гостиница,номера
378,доброе утро я могу где нибудь припарковаться у вашего отеля,добрый утро мочь припарковаться ваш отель,время
379,а какие у вас услуги,какой услуга,услуги
380,Расскажите про номера,рассказать номер,номера
381,здравствуйте могу ли я у вас забронировать номер,здравствуйте мочь забронировать номер,забронировать
382,скажите время заезда в номер,сказать время заезд номер,время
383,добрый день гостиница предоставляет дополнительные услуги,добрый день гостиница предоставлять дополнительный услуга,услуги
384,подскажите во сколько можно заселиться в номер,подсказать сколько заселиться номер,время
385,какие допуслуги предоставляются в гостинице,какой допуслуга предоставляться гостиница,время
386,добрый день у вас на территории можно поставить авто на парковку на время отдыха,добрый день территория поставить авто парковка время отдых,парковка
387,пожалуйста у вас есть парковка,пожалуйста парковка,парковка
388,подскажите пожалуйста какие у вас номера,подсказать пожалуйста какой номер,номера
389,добрый день гостиница предоставляет какие либо дополнительные услуги если да то какие,добрый день гостиница предоставлять какой либо дополнительный услуга какой,услуги
390,здравствуйте меня интересует есть ли у вас парковка на территории отеля,здравствуйте интересовать парковка территория отель,парковка
391,здравствуйте мне нужен номер в отеле хилтон ленинградская,здравствуйте нужный номер отель хилтон ленинградский,забронировать
392,какие дополнительные услуги предоставляет гостиница,какой дополнительный услуга предоставлять гостиница,услуги
393,добрый день расскажите про ваши номера,добрый день рассказать ваш номер,время
394,у вас есть двухместные номера,двухместный номер,номера
395,я хочу знать о вашей парковке,хотеть знать ваш парковка,время
396,подскажите пожалуйста все имеющиеся номера,подсказать пожалуйста иметься номер,номера
397,расскажите про дополнительные услуги,рассказать дополнительный услуга,услуги
398,когда заселятся по времени в номер,заселиться время номер,время
399,а какие номера есть,какой номер,номера
400,хочу у вас снять комнату,хотеть снять комната,время
401,во сколько можно заезжать в отель,сколько заезжать отель,время
402,когда вы будете заезжать,быть заезжать,время
403,доброго времени суток подскажите что входит в оплату за номер в вашей гостинице,добрый время сутки подсказать входить оплата номер ваш гостиница,время
404,есть парковка на территории отеля,парковка территория отель,парковка
405,Здравствуйте Давайте забронируем номер люкс в вашем отеле,здравствуйте давать забронировать номер люкс ваш отель,забронировать
406,Здравствуйте Уточните можно ли оставить машину на территории,здравствуйте уточнить оставить машина территория,парковка
407,здравствуйте возможна ли бронь в вашем отеле,здравствуйте возможный бронь ваш отель,забронировать
408,у меня нет парковки на территории отеля,парковка территория отель,парковка
409,добрый день в стоимость моего проживания будет включен завтрак,добрый день стоимость мой проживание включить завтрак,время
410,есть ли около гостиницы автомобильная стоянка и стоимость,около гостиница автомобильный стоянка стоимость,время
411,к 6 которому времени необходимо заехать в номер,6 который время необходимо заехать номер,время
412,Здравствуйте скажите пожалуйста какие номера есть в отеле,здравствуйте сказать пожалуйста какой номер отель,номера
413,здравствуйте могу ли я забронировать номер в этом отеле,здравствуйте мочь забронировать номер отель,забронировать
414,во сколько можно заехать в гостиницу,сколько заехать гостиница,время
415,у вас есть двухместные номера с завтраком,двухместный номер завтрак,номера
416,у отеля есть своя парковка,отель свой парковка,парковка
417,Перечислите доступные услуги отеля,перечислить доступный услуга отель,услуги
418,здравствуйте расскажите подробнее об услугах предоставляемых гостиницей,здравствуйте рассказать подробный услуга предоставлять гостиница,время
419,могу ли я узнать а какие дополнительные услуги предоставляет гостиница,мочь узнать какой дополнительный услуга предоставлять гостиница,услуги
420,доброе утро есть ли на территории отеля парковка,добрый утро территория отель парковка,парковка
421,доброе время суток хотелось бы узнать можно ли припарковаться возле отеля,добрый время сутки хотеться узнать припарковаться возле отель,время
422,я плохо иметь парковку у отеля,плохо иметь парковка отель,время
423,добрый день у нас номер 345,добрый день номер 345,время
424,здравствуйте хотелось бы узнать у вас имеется автомобильная стоянка не подскажите стоимость данной услуги,здравствуйте хотеться узнать иметься автомобильный стоянка подсказать стоимость дать услуга,время
425,лучший номер бронь,хороший номер бронь,время
426,здравствуйте хочу снять номер в отеле,здравствуйте хотеть снять номер отель,забронировать
427,у меня нет номер фонда,номер фонд,время
428,добрый день могу я забронировать номер в отеле,добрый день мочь забронировать номер отель,забронировать
429,я хотела бы узнать когда я могу заселиться в мой номер,хотеть узнать мочь заселиться номер,время
430,Какие номера в наличии,какой номер наличие,номера
431,какие у вас номера есть,какой номер,номера
432,у вас есть одноместные номера,одноместный номер,номера
433,когда я могу заселиться в номер,мочь заселиться номер,время
434,Какое время заезда и выезда в номер,какой время заезд выезд номер,время
435,хочу бронь оформить,хотеть бронь оформить,время
436,когда будет заезд и выезд,заезд выезд,время
437,подскажите в какое время можно заехать в снятый номер,подсказать какой время заехать снять номер,время
438,что еще я могу получить у вас,мочь получить,время
439,напомните какие номера есть,напомнить какой номер,номера
440,привет мне нужен номер в отеле,привет нужный номер отель,забронировать
441,добрый день подскажите в гостинице есть трансфер,добрый день подсказать гостиница трансфер,время
442,Какими ещё услугами я могу воспользоваться в гостинице,какой ещё услуга мочь воспользоваться гостиница,время
443,здравствуйте нужен номер в вашем отеле,здравствуйте нужный номер ваш отель,забронировать
444,время заселения и выезда,время заселение выезд,время
445,какова стоимость автостоянки,каков стоимость автостоянка,время
446,добрый день какими дополнительными услугами я могу воспользоваться в вашей гостинице,добрый день какой дополнительный услуга мочь воспользоваться ваш гостиница,время
447,меня интересует есть ли в вашем отеле парковочные места,интересовать ваш отель парковочный место,время
448,привет уточните пожалуйста наличие и стоимость автомобильной стоянки возле гостиницы,привет уточнить пожалуйста наличие стоимость автомобильный стоянка возле гостиница,время
449,где лучше отдохнуть,отдохнуть,время
450,здравствуйте подскажите пожалуйста что входит в перечень дополнительных услуг в вашей гостинице,здравствуйте подсказать пожалуйста входить перечень дополнительный услуга ваш гостиница,время
451,здравствуйте есть ли место для автомобиля на территории вашего заведения,здравствуйте место автомобиль территория ваш заведение,парковка
452,Какие номера можете дать,какой номер мочь дать,номера
453,Здраствуйте на территории отеля у вас есть летние веранды,здраствовать территория отель летний веранда,парковка
454,привет пожалуйста на этом сайте есть парковка,привет пожалуйста сайт парковка,парковка
455,доброе утро у вас есть парковка,добрый утро парковка,парковка
456,мое время заезда в номер 22 00,мой время заезд номер 22 00,время
457,расскажите какими номерами вы распологаете,рассказать какой номер распологать,время
458,Черт у вас есть парковка и какова цена,черта парковка каков цена,парковка
459,здравствуйте подскажите пожалуйста есть ли в гостинице дополнительные услуги,здравствуйте подсказать пожалуйста гостиница дополнительный услуга,услуги
460,здравствуйте у вас имеется парковка при гостинице,здравствуйте иметься парковка гостиница,парковка
461,здравствуйте скажите у вас есть свободные номера пожалуйста забронируйте для меня номер,здравствуйте сказать свободный номер пожалуйста забронировать номер,номера
462,здравствуйте у вас есть свободные номера,здравствуйте свободный номер,номера
463,Здравствуйте мне нужен номер в гостинице одноместный,здравствуйте нужный номер гостиница одноместный,время
464,какие есть услуги в гостинице,какой услуга гостиница,услуги
465,добрый день в вашей гостинице есть дополнительные услуги,добрый день ваш гостиница дополнительный услуга,услуги
466,Здравствуйте скажите смогу ли я оставить автомобиль на стоянку возле гостиницы ,здравствуйте сказать смочь оставить автомобиль стоянка возле гостиница,время
467,добрый день какие номера у вас есть в наличии,добрый день какой номер наличие,номера
468,бронирование номеров вызов такси,бронирование номер вызов такси,время
469,здравствуйте можно забронировать номер в вашем отеле,здравствуйте забронировать номер ваш отель,забронировать
470,хочу узнать какое точное время заселения в номер,хотеть узнать какой точный время заселение номер,время
471,пожалуйста дайте мне знать если у вас есть номер 345,пожалуйста дать знать номер 345,время
472,какова стоимость и комфортабельность свободных номеров,каков стоимость комфортабельность свободный номер,время
473,подскажите чек ин и чек аут в отеле,подсказать чек ин чек аут отель,время
474,скольки местные номера есть,сколько местный номер,номера
475,во сколько заселяют и выселяют из номеров,сколько заселять выселять номер,время
476,добрый день скажите пожалуйста во сколько нужно приехать чтобы пошла оплата номера и во сколько нужно выезжать чтобы не переплатить за лишние сутки,добрый день сказать пожалуйста сколько нужно приехать пойти оплата номер сколько нужно выезжать переплатить лишний сутки,время
477,доброго времени суток можно познакомиться с перечнем всех возможностей организации,добрый время сутки познакомиться перечень возможность организация,время
478,могу я узнать о номерах,мочь узнать номер,время
479,здравствуйте входит ли в услуги гостиницы завтрак и обед,здравствуйте входить услуга гостиница завтрак обед,время
480,Скажите Пожалуйста у имеются свободные парковки на территории отеля,сказать пожалуйста иметься свободный парковка территория отель,парковка
481,Привет Как я могу забронировать в гостинице номер,привет мочь забронировать гостиница номер,забронировать
482,добрый день сколько стоит парковка,добрый день сколько стоить парковка,время
483,В какое время освободиться номер,какой время освободиться номер,время
484,во сколько у вас проходит заселение,сколько проходить заселение,время
485,Есть парковочные места возле отеля,парковочный место возле отель,время
486,здравствуйте можно ли забронировать номер,здравствуйте забронировать номер,забронировать
487,Здравствуйте какие услуги предлагает отель,здравствуйте какой услуга предлагать отель,услуги
488,Здравствуйте Мне нужно оформить бронь номера,здравствуйте нужно оформить бронь номер,время
489,Здравствуйте где я смогу оставить машину,здравствуйте смочь оставить машина,время
490,хочу узнать какие есть услуги в гостинице,хотеть узнать какой услуга гостиница,услуги
491,во сколько можно въезжать в номер,сколько въезжать номер,время
492,добрый день у вас в гостинице есть дополнительные услуги,добрый день гостиница дополнительный услуга,услуги
